title,id,stage,creation,creator,activity,actor,nosy,type,components,versions,dependencies,assignee,keywords,priority,status,resolution,nosy_count,message_count
Python 3.7.0 wont compile with SSL Support 1.1.0 > alledged missing X509_VERIFY_PARAM_set1_host()  support,34028,None,2018-07-03.09:13:31,28875,2019-07-08.17:43:08,31759,"['3108', '3121', '12075', '24096', '28875', '29010', '30465', '31518', '31759']",None,['33'],['21'],[],3108,[],4,1,None,9.0,11.0
french translation Spelling mistake on datetime python's library documentation online,37514,None,2019-07-06.13:23:10,31723,2019-07-08.19:09:01,37,"['12260', '23063', '24890', '31723']",None,['4'],"['19', '20', '21', '22', '23']",[],23063,[],4,1,None,4.0,2.0
link to John Shipman's Tkinter 8.5 documentation fails: website no longer available,37149,4,2019-06-04.11:59:26,31472,2019-07-08.23:56:51,5248,"['155', '2731', '4455', '5248', '10882', '12260', '12704', '15623', '25861', '27838', '28746', '31472']",None,"['4', '13']","['14', '19', '20', '21', '22', '23']",[],12260,['2'],None,1,None,12.0,16.0
octal escapes applied inconsistently throughout the interpreter and lib,37367,4,2019-06-21.19:46:08,25661,2019-07-09.03:13:18,31176,"['155', '7047', '8818', '15623', '25661', '31176']",None,['11'],['23'],[],None,['2'],4,1,None,6.0,5.0
pickling instance which inherited from Exception with keyword only parameter,37489,None,2019-07-03.03:12:31,25015,2019-07-09.05:19:37,20700,"['2040', '3805', '20700', '25015']",5,['9'],['21'],[],None,[],4,1,None,4.0,2.0
zipfile: tuple IndexError on extract,36993,4,2019-05-21.12:32:49,31365,2019-07-09.06:29:38,29942,"['14674', '15623', '17286', '29942', '31365']",5,['9'],"['21', '22']",[],None,['2'],4,1,None,5.0,7.0
Python cannot access hci_channel field in sockaddr_hci,36132,None,2019-02-27.11:10:31,2136,2019-07-09.07:01:38,31176,"['2136', '17286', '31176', '31713']",None,['9'],['22'],[],None,[],4,1,None,4.0,4.0
zipfile: Raise ValueError for i/o operations on closed zipfile.ZipExtFile,37523,4,2019-07-09.07:06:51,29942,2019-07-09.07:27:20,29942,['29942'],5,['9'],"['21', '22']",[],None,['2'],4,1,None,1.0,1.0
Generate table of audit events for docs,37390,3,2019-06-24.15:46:04,16632,2019-07-09.07:36:40,16632,"['3108', '7047', '7641', '12260', '16632', '18982', '23063', '27838', '28746']",6,['4'],"['22', '23']",[],12260,['2'],4,1,None,9.0,13.0
Test failures when CPython is built without docstrings,37501,4,2019-07-05.03:30:04,26650,2019-07-09.07:46:22,155,"['37', '155', '2799', '26650']",5,['12'],"['21', '22', '23']",[],None,['2'],4,1,None,4.0,4.0
Add examples for mocking async for and async context manager in unittest.mock docs,37052,4,2019-05-26.07:51:03,28746,2019-07-09.09:31:47,28746,"['4165', '9716', '10303', '12260', '16198', '24191', '26249', '28746']",6,['4'],['22'],[],12260,['2'],4,1,None,8.0,1.0
test_default_timeout() of test_threading.BarrierTests failure: BrokenBarrierError,11871,6,2011-04-18.21:59:03,2377,2019-07-09.09:38:49,2377,"['624', '2377', '11089', '12146', '13902', '20235']",None,['12'],"['21', '22', '23']",[],None,"['2', '8']",4,1,None,6.0,12.0
Early auditing broken,37505,None,2019-07-05.12:07:59,3108,2019-07-09.10:13:59,16632,"['2377', '3108', '16632']",4,['8'],"['22', '23']",[],None,[],4,1,None,3.0,9.0
Use FASTCALL in dict.update(),29312,4,2017-01-18.17:07:42,2377,2019-07-09.10:19:34,16197,"['114', '2377', '2731', '10371', '13902', '16197']",6,['8'],['23'],[],None,['2'],4,1,None,6.0,21.0
Additional PEP578 hooks,37363,4,2019-06-21.15:42:29,16632,2019-07-09.10:32:43,3108,"['3108', '16632', '27838']",6,[],"['22', '23']",[],None,['2'],4,1,None,3.0,9.0
Provide knobs to disable session ticket generation on TLS 1.3,37120,4,2019-06-01.05:05:29,9811,2019-07-09.12:43:03,27838,"['1360', '2377', '3108', '9612', '9811', '17248', '27838']",6,['33'],"['22', '23']",[],3108,['2'],4,1,3,7.0,8.0
